Run_ID,Thickness_mm,Fillet_Radius_mm,Hole_Diameter_mm,Min_Safety_Factor,,
1,5,3,5,39.911,,
2,6,4,6,44.106,,
3,6,5,7,8.523,,
4,7,5,2,8.701,,
5,6.5,2.7,3.8,46.477,,
6,2,3.1,4,16.145,,
7,2.3,3.8,2.4,15.771,,
8,3.2,4.2,1.2,22.89,,
9,3.7,2.2,3.5,30.574,,
10,4,4,4,31.198,,
11,8.2,3.5,4.5,49.67,,
12,8.8,4,5,43.435,,
13,9.1,2.2,5.7,48.373,,
14,9.5,4.8,4,30.537,,
15,10,5,9,23.825,,
16,3.1,1.5,8,24.878,,
17,7.4,4.2,9.4,31.912,,
18,1.5,2,8.7,7.44,,
19,0.8,1.2,9.7,1.685,,
20,1,3,8.9,3.234,,
